id,order_id,product_id,quantity,price,cost,"created_at","updated_at"
1,1,59,1,8900,3560,"2016-08-30 21:25:48","2016-08-30 21:25:48"
2,2,10,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
3,3,7,1,7000,3150,"2016-08-30 21:25:48","2016-08-30 21:25:48"
4,4,4,1,8500,2550,"2016-08-30 21:25:48","2016-08-30 21:25:48"
5,5,75,1,8900,4005,"2016-08-30 21:25:48","2016-08-30 21:25:48"
6,6,9,1,6000,1800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
7,7,39,1,8900,4895,"2016-08-30 21:25:48","2016-08-30 21:25:48"
8,8,6,1,4000,2200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
9,9,62,1,5000,1750,"2016-08-30 21:25:48","2016-08-30 21:25:48"
10,10,69,1,9900,4455,"2016-08-30 21:25:48","2016-08-30 21:25:48"
11,11,26,1,4000,1400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
12,12,56,1,8900,3560,"2016-08-30 21:25:48","2016-08-30 21:25:48"
13,13,27,1,4000,2200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
14,14,64,1,5000,1750,"2016-08-30 21:25:48","2016-08-30 21:25:48"
15,15,21,1,4000,1200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
16,16,14,1,5000,2500,"2016-08-30 21:25:48","2016-08-30 21:25:48"
17,17,80,1,8000,4000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
18,18,73,1,8500,2975,"2016-08-30 21:25:48","2016-08-30 21:25:48"
19,19,30,1,8000,3600,"2016-08-30 21:25:48","2016-08-30 21:25:48"
20,20,55,1,5000,1500,"2016-08-30 21:25:48","2016-08-30 21:25:48"
21,21,70,1,8500,4250,"2016-08-30 21:25:48","2016-08-30 21:25:48"
22,22,2,1,9900,5445,"2016-08-30 21:25:48","2016-08-30 21:25:48"
23,23,61,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
24,24,67,1,8500,2550,"2016-08-30 21:25:48","2016-08-30 21:25:48"
25,25,35,1,8000,2400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
26,26,8,1,4000,2000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
27,27,22,1,8500,3400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
28,28,16,1,8900,2670,"2016-08-30 21:25:48","2016-08-30 21:25:48"
29,29,48,1,8500,4250,"2016-08-30 21:25:48","2016-08-30 21:25:48"
30,30,79,1,9500,4750,"2016-08-30 21:25:48","2016-08-30 21:25:48"
31,31,30,1,8000,3600,"2016-08-30 21:25:48","2016-08-30 21:25:48"
32,32,53,1,5000,1750,"2016-08-30 21:25:48","2016-08-30 21:25:48"
33,33,24,1,4000,2200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
34,34,70,1,8500,4250,"2016-08-30 21:25:48","2016-08-30 21:25:48"
35,35,28,1,8000,2800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
36,36,18,1,8500,3400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
37,37,5,1,9900,5445,"2016-08-30 21:25:48","2016-08-30 21:25:48"
38,38,35,1,8000,2400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
39,39,77,1,9900,4950,"2016-08-30 21:25:48","2016-08-30 21:25:48"
40,40,12,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
41,41,8,1,4000,2000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
42,42,20,1,9500,2850,"2016-08-30 21:25:48","2016-08-30 21:25:48"
43,43,77,1,9900,4950,"2016-08-30 21:25:48","2016-08-30 21:25:48"
44,44,35,1,8000,2400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
45,45,76,1,8000,4000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
46,46,63,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
47,47,61,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
48,48,18,1,8500,3400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
49,49,9,1,6000,1800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
50,50,23,1,9900,4950,"2016-08-30 21:25:48","2016-08-30 21:25:48"
51,51,34,1,7000,2800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
52,52,56,1,8900,3560,"2016-08-30 21:25:48","2016-08-30 21:25:48"
53,53,63,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
54,54,49,1,9000,4950,"2016-08-30 21:25:48","2016-08-30 21:25:48"
55,55,18,1,8500,3400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
56,56,23,1,9900,4950,"2016-08-30 21:25:48","2016-08-30 21:25:48"
57,57,73,1,8500,2975,"2016-08-30 21:25:48","2016-08-30 21:25:48"
58,58,23,1,9900,4950,"2016-08-30 21:25:48","2016-08-30 21:25:48"
59,59,35,1,8000,2400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
60,60,70,1,8500,4250,"2016-08-30 21:25:48","2016-08-30 21:25:48"
61,61,36,1,8000,2400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
62,62,80,1,8000,4000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
63,63,68,1,9900,4455,"2016-08-30 21:25:48","2016-08-30 21:25:48"
64,64,16,1,8900,2670,"2016-08-30 21:25:48","2016-08-30 21:25:48"
65,65,40,1,8900,3560,"2016-08-30 21:25:48","2016-08-30 21:25:48"
66,66,74,1,5000,2750,"2016-08-30 21:25:48","2016-08-30 21:25:48"
67,67,56,1,8900,3560,"2016-08-30 21:25:48","2016-08-30 21:25:48"
68,68,3,1,9900,3960,"2016-08-30 21:25:48","2016-08-30 21:25:48"
69,69,65,1,8000,4400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
70,70,45,1,9000,4500,"2016-08-30 21:25:48","2016-08-30 21:25:48"
71,71,51,1,8000,3600,"2016-08-30 21:25:48","2016-08-30 21:25:48"
72,72,16,1,8900,2670,"2016-08-30 21:25:48","2016-08-30 21:25:48"
73,73,16,1,8900,2670,"2016-08-30 21:25:48","2016-08-30 21:25:48"
74,74,52,1,8000,3600,"2016-08-30 21:25:48","2016-08-30 21:25:48"
75,75,40,1,8900,3560,"2016-08-30 21:25:48","2016-08-30 21:25:48"
76,76,67,1,8500,2550,"2016-08-30 21:25:48","2016-08-30 21:25:48"
77,77,35,1,8000,2400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
78,78,71,1,9900,3960,"2016-08-30 21:25:48","2016-08-30 21:25:48"
79,79,80,1,8000,4000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
80,80,12,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
81,81,30,1,8000,3600,"2016-08-30 21:25:48","2016-08-30 21:25:48"
82,82,35,1,8000,2400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
83,83,80,1,8000,4000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
84,84,28,1,8000,2800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
85,85,18,1,8500,3400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
86,86,45,1,9000,4500,"2016-08-30 21:25:48","2016-08-30 21:25:48"
87,87,37,1,7000,2100,"2016-08-30 21:25:48","2016-08-30 21:25:48"
88,88,48,1,8500,4250,"2016-08-30 21:25:48","2016-08-30 21:25:48"
89,89,48,1,8500,4250,"2016-08-30 21:25:48","2016-08-30 21:25:48"
90,90,53,1,5000,1750,"2016-08-30 21:25:48","2016-08-30 21:25:48"
91,91,51,1,8000,3600,"2016-08-30 21:25:48","2016-08-30 21:25:48"
92,92,51,1,8000,3600,"2016-08-30 21:25:48","2016-08-30 21:25:48"
93,93,52,1,8000,3600,"2016-08-30 21:25:48","2016-08-30 21:25:48"
94,94,9,1,6000,1800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
95,95,12,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
96,96,26,1,4000,1400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
97,97,65,1,8000,4400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
98,98,1,1,9000,4950,"2016-08-30 21:25:48","2016-08-30 21:25:48"
99,99,75,1,8900,4005,"2016-08-30 21:25:48","2016-08-30 21:25:48"
100,100,29,1,9500,3800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
101,101,22,1,8500,3400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
102,102,56,1,8900,3560,"2016-08-30 21:25:48","2016-08-30 21:25:48"
103,103,18,1,8500,3400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
104,104,27,1,4000,2200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
105,105,4,1,8500,2550,"2016-08-30 21:25:48","2016-08-30 21:25:48"
106,106,49,1,9000,4950,"2016-08-30 21:25:48","2016-08-30 21:25:48"
107,107,59,1,8900,3560,"2016-08-30 21:25:48","2016-08-30 21:25:48"
108,108,65,1,8000,4400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
109,109,46,1,4000,1400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
110,110,52,1,8000,3600,"2016-08-30 21:25:48","2016-08-30 21:25:48"
111,111,15,1,6000,1800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
112,112,55,1,5000,1500,"2016-08-30 21:25:48","2016-08-30 21:25:48"
113,113,46,1,4000,1400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
114,114,10,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
115,115,74,1,5000,2750,"2016-08-30 21:25:48","2016-08-30 21:25:48"
116,116,22,1,8500,3400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
117,117,42,1,9500,4750,"2016-08-30 21:25:48","2016-08-30 21:25:48"
118,118,62,1,5000,1750,"2016-08-30 21:25:48","2016-08-30 21:25:48"
119,119,22,1,8500,3400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
120,120,3,1,9900,3960,"2016-08-30 21:25:48","2016-08-30 21:25:48"
121,121,63,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
122,122,44,1,4000,1800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
123,123,62,1,5000,1750,"2016-08-30 21:25:48","2016-08-30 21:25:48"
124,124,71,1,9900,3960,"2016-08-30 21:25:48","2016-08-30 21:25:48"
125,125,67,1,8500,2550,"2016-08-30 21:25:48","2016-08-30 21:25:48"
126,126,59,1,8900,3560,"2016-08-30 21:25:48","2016-08-30 21:25:48"
127,127,9,1,6000,1800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
128,128,16,1,8900,2670,"2016-08-30 21:25:48","2016-08-30 21:25:48"
129,129,69,1,9900,4455,"2016-08-30 21:25:48","2016-08-30 21:25:48"
130,130,61,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
131,131,72,1,9900,3465,"2016-08-30 21:25:48","2016-08-30 21:25:48"
132,132,65,1,8000,4400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
133,133,76,1,8000,4000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
134,134,44,1,4000,1800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
135,135,56,1,8900,3560,"2016-08-30 21:25:48","2016-08-30 21:25:48"
136,136,68,1,9900,4455,"2016-08-30 21:25:48","2016-08-30 21:25:48"
137,137,41,1,5000,2500,"2016-08-30 21:25:48","2016-08-30 21:25:48"
138,138,8,1,4000,2000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
139,139,10,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
140,140,50,1,5000,2250,"2016-08-30 21:25:48","2016-08-30 21:25:48"
141,141,49,1,9000,4950,"2016-08-30 21:25:48","2016-08-30 21:25:48"
142,142,12,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
143,143,80,1,8000,4000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
144,144,76,1,8000,4000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
145,145,54,1,7000,2100,"2016-08-30 21:25:48","2016-08-30 21:25:48"
146,146,20,1,9500,2850,"2016-08-30 21:25:48","2016-08-30 21:25:48"
147,147,16,1,8900,2670,"2016-08-30 21:25:48","2016-08-30 21:25:48"
148,148,26,1,4000,1400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
149,149,36,1,8000,2400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
150,150,73,1,8500,2975,"2016-08-30 21:25:48","2016-08-30 21:25:48"
151,151,10,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
152,152,11,1,6000,2400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
153,153,48,1,8500,4250,"2016-08-30 21:25:48","2016-08-30 21:25:48"
154,154,18,1,8500,3400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
155,155,39,1,8900,4895,"2016-08-30 21:25:48","2016-08-30 21:25:48"
156,156,15,1,6000,1800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
157,157,76,1,8000,4000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
158,158,67,1,8500,2550,"2016-08-30 21:25:48","2016-08-30 21:25:48"
159,159,32,1,5000,1500,"2016-08-30 21:25:48","2016-08-30 21:25:48"
160,160,71,1,9900,3960,"2016-08-30 21:25:48","2016-08-30 21:25:48"
161,161,19,1,5000,1500,"2016-08-30 21:25:48","2016-08-30 21:25:48"
162,162,67,1,8500,2550,"2016-08-30 21:25:48","2016-08-30 21:25:48"
163,163,65,1,8000,4400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
164,164,76,1,8000,4000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
165,165,63,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
166,166,26,1,4000,1400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
167,167,49,1,9000,4950,"2016-08-30 21:25:48","2016-08-30 21:25:48"
168,168,30,1,8000,3600,"2016-08-30 21:25:48","2016-08-30 21:25:48"
169,169,30,1,8000,3600,"2016-08-30 21:25:48","2016-08-30 21:25:48"
170,170,20,1,9500,2850,"2016-08-30 21:25:48","2016-08-30 21:25:48"
171,171,61,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
172,172,31,1,6000,1800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
173,173,25,1,4000,1800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
174,174,44,1,4000,1800,"2016-08-30 21:25:48","2016-08-30 21:25:48"
175,175,35,1,8000,2400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
176,176,75,1,8900,4005,"2016-08-30 21:25:48","2016-08-30 21:25:48"
177,177,22,1,8500,3400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
178,178,63,1,8000,3200,"2016-08-30 21:25:48","2016-08-30 21:25:48"
179,179,26,1,4000,1400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
180,180,2,1,9900,5445,"2016-08-30 21:25:48","2016-08-30 21:25:48"
181,181,8,1,4000,2000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
182,182,17,1,5000,2000,"2016-08-30 21:25:48","2016-08-30 21:25:48"
183,183,56,1,8900,3560,"2016-08-30 21:25:48","2016-08-30 21:25:48"
184,184,18,1,8500,3400,"2016-08-30 21:25:48","2016-08-30 21:25:48"
185,185,39,1,8900,4895,"2016-08-30 21:25:48","2016-08-30 21:25:48"
186,186,70,1,8500,4250,"2016-08-30 21:25:48","2016-08-30 21:25:48"
187,187,27,1,4000,2200,"2016-08-30 21:25:49","2016-08-30 21:25:49"
188,188,4,1,8500,2550,"2016-08-30 21:25:49","2016-08-30 21:25:49"
189,189,42,1,9500,4750,"2016-08-30 21:25:49","2016-08-30 21:25:49"
190,190,35,1,8000,2400,"2016-08-30 21:25:49","2016-08-30 21:25:49"
191,191,23,1,9900,4950,"2016-08-30 21:25:49","2016-08-30 21:25:49"
192,192,71,1,9900,3960,"2016-08-30 21:25:49","2016-08-30 21:25:49"
193,193,50,1,5000,2250,"2016-08-30 21:25:49","2016-08-30 21:25:49"
194,194,65,1,8000,4400,"2016-08-30 21:25:49","2016-08-30 21:25:49"
195,195,35,1,8000,2400,"2016-08-30 21:25:49","2016-08-30 21:25:49"
196,196,48,1,8500,4250,"2016-08-30 21:25:49","2016-08-30 21:25:49"
197,197,66,1,5000,2000,"2016-08-30 21:25:49","2016-08-30 21:25:49"
198,198,36,1,8000,2400,"2016-08-30 21:25:49","2016-08-30 21:25:49"
199,199,69,1,9900,4455,"2016-08-30 21:25:49","2016-08-30 21:25:49"
200,200,36,1,8000,2400,"2016-08-30 21:25:49","2016-08-30 21:25:49"
201,201,1,1,9000,4950,"2016-08-30 21:25:49","2016-08-30 21:25:49"
202,202,52,1,8000,3600,"2016-08-30 21:25:49","2016-08-30 21:25:49"
203,203,46,1,4000,1400,"2016-08-30 21:25:49","2016-08-30 21:25:49"
204,204,60,1,7000,3150,"2016-08-30 21:25:49","2016-08-30 21:25:49"
205,205,75,1,8900,4005,"2016-08-30 21:25:49","2016-08-30 21:25:49"
206,206,41,1,5000,2500,"2016-08-30 21:25:49","2016-08-30 21:25:49"
207,207,14,1,5000,2500,"2016-08-30 21:25:49","2016-08-30 21:25:49"
208,208,47,1,9500,3325,"2016-08-30 21:25:49","2016-08-30 21:25:49"
209,209,73,1,8500,2975,"2016-08-30 21:25:49","2016-08-30 21:25:49"
210,210,51,1,8000,3600,"2016-08-30 21:25:49","2016-08-30 21:25:49"
211,211,26,1,4000,1400,"2016-08-30 21:25:49","2016-08-30 21:25:49"
